"ean","brand","nome","ivazero","price","desconto","pvp_recomendado","promocao","preco_por_volume","category","embalagem","link_produto","link_imagem","id","variant","channel"
8410022000025,"Donuts","Bolo Glacé",FALSE,2.19,"25",NA,NA,"€10,95","Mercearia/Bolachas, Biscoitos e Tostas/Bolos, Napolitanas, Queques","emb. 200 gr (4 un)","https://www.continente.pt/produto/bolo-glace-donuts-4714094.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw2aec61a0/images/col/471/4714094-direito.jpg?sw=280&sh=280","4714094","","col"
5601489781357,"Du Bois","Folhado Feuilletine",FALSE,1.94,NA,NA,NA,"€14,37","Mercearia/Bolachas, Biscoitos e Tostas/Maria, Torrada e Biscoitos","emb. 135 gr","https://www.continente.pt/produto/folhado-feuilletine-du-bois-5113597.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd59491f3/images/col/511/5113597-frente.jpg?sw=280&sh=280","5113597","","col"
8410022000063,"Donuts","Bolo Coberto de Chocolate Bombón",FALSE,2.19,"25",NA,NA,"€11,65","Mercearia/Bolachas, Biscoitos e Tostas/Bolos, Napolitanas, Queques","emb. 200 gr (4 un)","https://www.continente.pt/produto/bolo-coberto-de-chocolate-bombon-donuts-4714045.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw89db2d5f/images/col/471/4714045-direito.jpg?sw=280&sh=280","4714045","","col"
5601027000216,"Bollycao","Bolo com Recheio de Chocolate",FALSE,2.19,"25",NA,NA,"€9,61","Mercearia/Bolachas, Biscoitos e Tostas/Bolos, Napolitanas, Queques","emb. 228 gr (4 un)","https://www.continente.pt/produto/bolo-com-recheio-de-chocolate-bollycao-2004744.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwcc45a86a/images/col/200/2004744-frente.jpg?sw=280&sh=280","2004744","","col"
5602519001032,"Da Nossa Pastelaria","Mini Cenoura",FALSE,1.79,NA,NA,NA,"€6,88","Padaria e Pastelaria/Pastelaria/Pastelaria Sortida","emb. 260 gr","https://www.continente.pt/produto/mini-cenoura-da-nossa-pastelaria-7677025.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw35aca661/images/col/767/7677025-frente.jpg?sw=280&sh=280","7677025","","col"
5601027959477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5601312511151,"Continente","Toucinho do Céu",FALSE,0.99,NA,NA,NA,"€4,95","Refeições Fáceis/Sobremesas","emb. 2 x 100 gr","https://www.continente.pt/produto/toucinho-do-ceu-continente-7477479.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe3e26ff1/images/col/747/7477479-frente.jpg?sw=280&sh=280","7477479","","col"
5601312512424,"Continente","Mousse Chocolate de Leite",FALSE,0.99,NA,NA,NA,"€4,13","Laticínios e Ovos/Sobremesas/Mousses e Pudins","emb. 240 gr (4 un)","https://www.continente.pt/produto/mousse-chocolate-de-leite-continente-7634794.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw20c1ca2a/images/col/763/7634794-frente.jpg?sw=280&sh=280","7634794","","col"
5601312511847,"Continente","Pudim Flan Ovos",FALSE,1.59,NA,NA,NA,"€0,40","Laticínios e Ovos/Sobremesas/Mousses e Pudins","emb. 400 gr (4 un)","https://www.continente.pt/produto/pudim-flan-ovos-continente-7599436.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1fab02ad/images/col/759/7599436-frente.jpg?sw=280&sh=280","7599436","","col"
5601312511229,"Continente","Pudim +Proteína Baunilha",FALSE,1.19,NA,NA,NA,"€5,95","Laticínios e Ovos/Iogurtes/Iogurtes Proteína","emb. 200 gr","https://www.continente.pt/produto/pudim-proteina-baunilha-continente-7477482.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe9686203/images/col/747/7477482-frente.jpg?sw=280&sh=280","7477482","","col"
5601312511236,"Continente","Pudim +Proteína Caramelo",FALSE,1.19,NA,NA,NA,"€5,95","Laticínios e Ovos/Iogurtes/Iogurtes Proteína","emb. 200 gr","https://www.continente.pt/produto/pudim-proteina-caramelo-continente-7477484.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw5163f248/images/col/747/7477484-frente.jpg?sw=280&sh=280","7477484","","col"
5601050037272,"Yopro","Pudim Proteico Chocolate",FALSE,1.99,"20",NA,NA,"€11,06","Laticínios e Ovos/Iogurtes/Iogurtes Proteína","emb. 180 gr","https://www.continente.pt/produto/pudim-proteico-chocolate-yopro-7589057.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw271595fa/images/col/758/7589057-frente.jpg?sw=280&sh=280","7589057","","col"
5601312511694,"Nova Maestro","Liégeois Chocolate",FALSE,1.19,NA,NA,NA,"€2,98","Laticínios e Ovos/Sobremesas/Mousses e Pudins","emb. 400 gr (4 un)","https://www.continente.pt/produto/liegeois-chocolate-nova-maestro-7533911.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf8921bd8/images/col/753/7533911-frente.jpg?sw=280&sh=280","7533911","","col"
5601312511243,"Continente","Pudim +Proteína Chocolate",FALSE,1.19,NA,NA,NA,"€5,95","Laticínios e Ovos/Iogurtes/Iogurtes Proteína","emb. 200 gr","https://www.continente.pt/produto/pudim-proteina-chocolate-continente-7477480.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw09821df6/images/col/747/7477480-frente.jpg?sw=280&sh=280","7477480","","col"
4002971301601,"Ehrmann","Pudim Proteína Chocolate",FALSE,1.89,NA,NA,NA,"€9,45","Laticínios e Ovos/Iogurtes/Iogurtes Proteína","emb. 200 gr","https://www.continente.pt/produto/pudim-proteina-chocolate-ehrmann-7368599.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe6df06cb/images/col/736/7368599-cima.jpg?sw=280&sh=280","7368599","","col"
4002971303506,"Ehrmann","Pudim Proteína Caramelo",FALSE,1.89,NA,NA,NA,"€9,45","Laticínios e Ovos/Iogurtes/Iogurtes Proteína","emb. 200 gr","https://www.continente.pt/produto/pudim-proteina-caramelo-ehrmann-7368849.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa869b8e2/images/col/736/7368849-cima.jpg?sw=280&sh=280","7368849","","col"
5603697271743,"Koala","Gelatina Pronta Vegetal Morango",FALSE,1.16,NA,NA,NA,"€8,92","Laticínios e Ovos/Sobremesas/Gelatinas","emb. 130 gr","https://www.continente.pt/produto/gelatina-pronta-vegetal-morango-koala-5177903.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd7ec5cc7/images/col/517/5177903-esquerdo.jpg?sw=280&sh=280","5177903","","col"
5601312507482,"Continente","Natilhas Bolacha Maria",FALSE,1.39,NA,NA,NA,"€2,78","Refeições Fáceis/Sobremesas","emb. 4 x 125 gr","https://www.continente.pt/produto/natilhas-bolacha-maria-continente-6758818.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw5725255b/images/col/675/6758818-hero.jpg?sw=280&sh=280","6758818","","col"
5601312510017,"Continente","Gelatina Pronta Morango Pack Poupança",FALSE,1.39,NA,NA,NA,"€2,32","Laticínios e Ovos/Sobremesas/Gelatinas","emb. 600 gr (6 un)","https://www.continente.pt/produto/gelatina-pronta-morango-pack-poupanca-continente-7368462.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw7dabbd83/images/col/736/7368462-frente.jpg?sw=280&sh=280","7368462","","col"
5201314129738,"Bioten","Desodorizante Roll On 0% Alumínio Rose",FALSE,2.57,"40",NA,NA,"€51,40","Beleza e Higiene/Corpo/Desodorizantes","emb. 50 ml","https://www.continente.pt/produto/desodorizante-roll-on-0--aluminio-rose-bioten-7719785.html","https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf6042bb8/images/col/771/7719785-frente.jpg?sw=280&sh=280","7719785","","col"
